Initials,Event,match kind,#,pos,team,Points,left zone,Amp Auton,Speaker Auton,Amp tele,Speaker tele,times amp,intake,Time to climb,climb,trap,Driver Skill,Defense,Spped,Died,tippy,note drop,alliance partner,comments,
Hm,Houston ,qm,8,r2,103,36,1,0,2,0,4,0,x,3.7,o,0,n,x,2,0,0,0,0,,
ap,worlds,qm,13,r2,1538,36,0,0,1,3,2,0,b,2.5,o,0,a,x,4,0,0,0,0,Good,
NF,2023tnkn,qm,13,r3,9400,12,0,0,0,1,0,0,f,0,x,0,a,x,2,1,0,0,0,connection issues,
A.A,2023tnkn,qm,13,b1,3984,13,0,0,3,9,3,0,f,11,o,1,v,x,3,0,0,0,1,,
ZC,world champs,qm,13,r1,9432,36,1,0,2,0,0,0,f,0,p,0,a,x,3,0,0,0,0,Note passer,
H.h,Worlds,qm,13,b2,321,37,1,0,1,0,4,1,b,0,o,0,v,x,4,0,0,0,0,,
H.h,Worlds,qm,12,b2,9480,25,0,0,1,0,1,1,s,0,o,0,a,x,4,0,0,0,0,,
AK,Houston ,qm,13,b3,131,1,1,0,4,0,0,3,f,1.6,o,1,v,g,5,0,0,0,1,Feeder bot,
ap,worlds,qm,14,r2,840,48,0,0,1,3,2,0,b,0,o,0,a,x,4,0,0,0,1,,
ZC,world champs,qm,14,r1,2054,24,1,0,4,4,2,0,f,0,x,0,a,x,3,1,0,0,0,,
NF,2023tnkn,qm,14,r3,5534,24,1,0,1,0,5,0,f,13.9,a,0,v,x,3,0,0,0,1,good speaker bot. started passing notes halfway through,
A.A,2023tnkn,qm,14,b1,3863,1,0,0,1,0,2,0,b,0,x,0,v,g,5,0,1,0,0,"tall robot, got stuck in reds stage during 1:20-0:40",
H.h,Worlds,qm,14,b2,51,13,1,0,2,1,0,1,s,0,o,0,a,x,4,0,0,0,0,,
AK,Houston ,qm,14,b3,8085,25,1,0,1,2,1,1,b,3.2,o,1,a,b,4,0,0,0,0,,
